,0,1,2,3,4,5,6,7,8,9,10,11,date
2241,新世界发展有限公司,NWDEVL 5.25 PERP,91.795,5.25,7.767,1000.00 百万,2020-06-22,一般企业用途,2026/3/22,2026/3/22,地产债,96638,PERP
2242,永利澳门有限公司,WYNMAC 5.5 01/15/26,-,5.5,-,1000.00 百万,2020-06-19,一般公司用途直到其业务从COVID-19大流行中恢复过来，并用于偿还永利澳门信贷下的部分未偿还款项(如适用),2022/6/15、2023/6/15、2024/6/15,2022/6/15,产业债,100113,2026/01/15
2243,中国进出口银行,EXIMCH 0.9 06/19/23,98.087,0.9,3.284,55.00 百万,2020-06-19,--,--,--,金融债,102295,2023/06/19
2244,中国进出口银行,EXIMCH 0.9 06/19/23,98.087,0.9,3.284,100.00 百万,2020-06-19,--,--,--,金融债,102296,2023/06/19
2245,美高梅中国控股有限公司,MGMCHI 5.25 06/18/25,-,5.25,-,500.00 百万,2020-06-18,偿还循环授信贷款(Revolving Credit Facility)项下的部分未偿款项及一般公司用途,2022/6/18、2023/6/18、2024/6/18,2022/6/18,产业债,100114,2025/06/18
2246,美高梅中国控股有限公司,MGMCHI 5.25 06/18/25,-,5.25,-,500.00 百万,2020-06-18,偿还循环授信贷款(Revolving Credit Facility)项下的部分未偿款项及一般公司用途,2022/6/18、2023/6/18、2024/6/18,2022/6/18,产业债,100115,2025/06/18
2247,新力控股(集团)有限公司,SINHLD 10.5 06/18/22,2.375,10.5,-,210.00 百万,2020-06-18,再融资,--,--,地产债,96616,2022/06/18
2248,长兴交通投资集团有限公司,CXTRCO 4.1 06/18/23,97.862,4.1,6.825,110.00 百万,2020-06-18,再融资,--,--,城投债,101232,2023/06/18
2249,金辉集团股份有限公司,JNHUIG 8.8 09/17/23,81.655,8.8,30.206,250.00 百万,2020-06-17,再融资,2022/6/17,2022/6/17,地产债,96605,2023/09/17
2250,中国蒙牛乳业有限公司,CHMEDA 2.5 06/17/30,85.642,2.5,4.718,300.00 百万,2020-06-17,一般企业用途、再融资,2030/3/17,2030/3/17,产业债,96606,2030/06/17
2251,中国蒙牛乳业有限公司,CHMEDA 1.875 06/17/25,93.134,1.875,4.501,500.00 百万,2020-06-17,一般企业用途、再融资,2025/5/17,2025/5/17,产业债,96607,2025/06/17
2252,郑州航空港兴港投资集团有限公司,ZZAIRI 3.4 06/17/23,98.905,3.4,4.785,300.00 百万,2020-06-17,项目融资、再融资,--,--,城投债,96615,2023/06/17
2253,英利国际置业股份有限公司,YINGLI 3 06/15/21,-,3,-,50.00 百万,2020-06-17,--,2021/4/17,2021/4/17,地产债,102519,2021/06/15
2254,中国工商银行股份有限公司,ICBCAS Float 06/16/23,100.026,3mL+60,-,200.00 百万,2020-06-17,--,--,--,金融债,96732,2023/06/16
2255,中国工商银行股份有限公司,ICBCAS Float 06/16/23,100.026,3mL+60,-,100.00 百万,2020-06-17,--,--,--,金融债,96733,2023/06/16
2256,东亚银行有限公司,BNKEA Float 06/16/23,100.038,3mL+90,-,30.00 百万,2020-06-16,--,--,--,金融债,102197,2023/06/16
2257,绿地控股集团有限公司,GRNLGR 6.25 12/16/22,47.331,6.25,364.861,500.00 百万,2020-06-16,一般企业用途、再融资,2021/12/16,2021/12/16,地产债,96587,2022/12/16
2258,上海建工集团股份有限公司,SHCONS 2.25 06/16/25,93.677,2.25,4.677,600.00 百万,2020-06-16,一般企业用途、项目融资、再融资,--,--,产业债,96597,2025/06/16
2259,华夏幸福基业股份有限公司,CHFOTN 6.92 06/16/22,9.550,6.92,-,300.00 百万,2020-06-16,再融资,--,--,地产债,96614,2022/06/16
2260,希慎兴业有限公司,HYSAN 3.55 06/16/35,89.272,3.55,4.671,225.00 百万,2020-06-16,--,--,--,地产债,96685,2035/06/16
2261,冠君产业信托,CPREIT 2.95 06/15/30,89.381,2.95,4.582,300.00 百万,2020-06-15,一般企业用途、再融资,--,--,地产债,96588,2030/06/15
2262,建业地产股份有限公司,CENCHI 7.65 08/27/23,32.382,7.65,168.926,400.00 百万,2020-06-15,再融资,2022/8/27,2022/8/27,地产债,96589,2023/08/27
2263,融信中国控股有限公司,RONXIN 7.35 12/15/23,6.439,7.35,418.824,410.00 百万,2020-06-15,再融资,2022/12/15,2022/12/15,地产债,96596,2023/12/15
2264,正荣地产集团有限公司,ZHPRHK 8.3 09/15/23,3.400,8.3,-,200.00 百万,2020-06-15,再融资,2022/9/15,2022/9/15,地产债,95946,2023/09/15
2265,国泰君安国际控股有限公司,GUOTJU 1 06/11/21,100.000,1,-,30.00 百万,2020-06-12,--,--,--,金融债,102218,2021/06/11
2266,中国进出口银行,EXIMCH 0.9 06/12/23,98.135,0.9,3.279,192.00 百万,2020-06-12,--,--,--,金融债,101277,2023/06/12
2267,武夷山有限公司,MUYMOU 5 06/09/22,-,5,-,80.00 百万,2020-06-11,--,--,--,金融债,101222,2022/06/09
2268,中国进出口银行,EXIMCH 1 06/11/25,93.727,1,3.368,50.00 百万,2020-06-11,--,--,--,金融债,102294,2025/06/11
2269,新城发展控股有限公司,FUTLAN 6.45 06/11/22,100.000,6.45,-,400.00 百万,2020-06-11,再融资,--,--,地产债,95947,2022/06/11
2270,南海控股有限公司,NANHAI 2.9 06/11/22,100.000,2.9,-,350.00 百万,2020-06-11,再融资,2021/6/11,2021/6/11,地产债,95948,2022/06/11
2271,佳兆业集团控股有限公司,KAISAG 7.875 06/09/21,100.000,7.875,-,300.00 百万,2020-06-10,一般企业用途、再融资,--,--,地产债,96319,2021/06/09
2272,中国进出口银行,EXIMCH 1 06/10/25,93.733,1,3.368,200.00 百万,2020-06-10,--,--,--,金融债,101278,2025/06/10
2273,银川通联资本投资运营有限公司,TLINVT 4.45 06/10/23,91.399,4.45,16.447,300.00 百万,2020-06-10,再融资,--,--,城投债,95945,2023/06/10
2274,香港电灯有限公司,HKE 2.25 06/09/30,85.261,2.25,4.515,500.00 百万,2020-06-09,一般企业用途、再融资,2029/12/9,2029/12/9,产业债,92798,2030/06/09
2275,中国工商银行股份有限公司,ICBCAS Float 06/09/23,100.031,3mL+60,-,100.00 百万,2020-06-09,--,--,--,金融债,96735,2023/06/09
2276,香港铁路有限公司,MTRC 2.15 06/07/21,-,2.15,-,220.00 百万,2020-06-05,Refinance Green Bond/Loan,--,--,产业债,100049,2021/06/07
2277,中国工商银行股份有限公司,ICBCAS Float 06/05/23,100.012,3mL+60,-,100.00 百万,2020-06-05,--,--,--,金融债,96731,2023/06/05
2278,交通银行股份有限公司,BOCOM Float 06/05/23,100.174,3mL+75,-,100.00 百万,2020-06-05,--,--,--,金融债,96736,2023/06/05
2279,金沙中国有限公司,SANLTD 3.8 01/08/26,-,3.8,-,800.00 百万,2020-06-04,增强流动性和一般公司用途,2025/12/8,2025/12/8,产业债,100112,2026/01/08
2280,中航工业产融控股股份有限公司,AVICCP 2.5 06/04/25,93.806,2.5,4.913,400.00 百万,2020-06-04,再融资,--,--,金融债,91937,2025/06/04
2281,金沙中国有限公司,SANLTD 4.375 06/18/30,-,4.375,-,700.00 百万,2020-06-04,增强流动性和一般企业用途,2030/3/18,2030/3/18,产业债,101197,2030/06/18
2282,金沙中国有限公司,SANLTD 4.375 06/18/30,-,4.375,-,700.00 百万,2020-06-04,一般企业用途,2030/3/18,2030/3/18,产业债,101200,2030/06/18
2283,金沙中国有限公司,SANLTD 3.8 01/08/26,-,3.8,-,800.00 百万,2020-06-04,增强流动性和一般公司用途,2025/12/8,2025/12/8,产业债,103807,2026/01/08
2284,四川蓝光发展股份有限公司,LGUANG 11 06/04/22,9.800,11,-,450.00 百万,2020-06-04,再融资,--,--,地产债,92316,2022/06/04
2285,江苏悦达集团有限公司,JIANYU 5.7 06/04/23,98.088,5.7,8.269,287.25 百万,2020-06-04,再融资,--,--,产业债,101103,2023/06/04
2286,腾讯控股有限公司,TENCNT 2.39 06/03/30,83.261,2.39,5.016,2250.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91668,2030/06/03
2287,腾讯控股有限公司,TENCNT 2.39 06/03/30,83.261,2.39,5.016,2250.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91686,2030/06/03
2288,腾讯控股有限公司,TENCNT 3.29 06/03/60,63.448,3.29,5.637,750.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91703,2060/06/03
2289,腾讯控股有限公司,TENCNT 1.81 01/26/26,92.302,1.81,4.252,1000.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91719,2026/01/26
2290,中信证券股份有限公司,CITICS 1.75 06/03/23,98.329,1.75,3.965,500.00 百万,2020-06-03,一般企业用途、公司间贷款,--,--,金融债,91734,2023/06/03
2291,腾讯控股有限公司,TENCNT 3.24 06/03/50,66.765,3.24,5.616,2000.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91750,2050/06/03
2292,腾讯控股有限公司,TENCNT 1.81 01/26/26,92.302,1.81,4.252,1000.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,75417,2026/01/26
2293,中信证券股份有限公司,CITICS 2 06/03/25,94.367,2,4.171,500.00 百万,2020-06-03,一般企业用途、公司间贷款,--,--,金融债,75418,2025/06/03
2294,腾讯控股有限公司,TENCNT 3.29 06/03/60,63.448,3.29,5.637,750.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,75419,2060/06/03
2295,山高控股集团有限公司,CNSHAN 3.8 06/01/21,100.000,3.8,-,800.00 百万,2020-06-03,一般企业用途、再融资	,--,--,城投债,96707,2021/06/01
2296,腾讯控股有限公司,TENCNT 3.24 06/03/50,66.765,3.24,5.616,2000.00 百万,2020-06-03,一般企业用途、再融资,--,--,产业债,91643,2050/06/03
2297,中银航空租赁有限公司,BOCAVI 2.75 12/02/23,98.106,2.75,4.295,750.00 百万,2020-06-02,新资本支出、一般公司用途和/或为现有借款再融资,--,--,产业债,100110,2023/12/02
2298,湘潭城乡建设发展集团有限公司,XTURDG 4 06/02/23,97.982,4,6.714,105.00 百万,2020-06-02,运营资本、再融资,--,--,城投债,101138,2023/06/02
2299,哔哩哔哩股份有限公司,BILI 1.25 06/15/27,98.952,1.25,-,800.00 百万,2020-06-02,一般企业用途,2023/6/15、2025/6/15,2023/6/15,产业债,102539,2027/06/15
2300,哔哩哔哩股份有限公司,BILI 1.25 06/15/27,280.776,1.25,-,800.00 百万,2020-06-02,一般企业用途,2023/6/15,2023/6/15,产业债,92315,2027/06/15
2301,中国平安保险海外(控股)有限公司,PINGIN 2.75 06/02/25,93.258,2.75,5.402,600.00 百万,2020-06-02,一般企业用途、公司间贷款,--,--,金融债,65507,2025/06/02
2302,希慎兴业有限公司,HYSAN 2.875 06/02/27,94.208,2.875,4.227,400.00 百万,2020-06-02,一般企业用途,2027/3/2,2027/3/2,地产债,64756,2027/06/02
2303,花样年控股集团有限公司,FTHDGR 11.875 06/01/23,8.185,11.875,837.440,550.00 百万,2020-06-01,再融资,2022/6/1,2022/6/1,地产债,91616,2023/06/01
2304,交通银行股份有限公司,BOCOM Float 05/30/23,100.233,3mL+80,-,100.00 百万,2020-05-29,--,--,--,金融债,102242,2023/05/30
2305,东亚银行有限公司,BNKEA 4 05/29/30,95.340,4,5.849,600.00 百万,2020-05-29,内部纾困、巴塞尔协议Ⅲ 2级资本,2025/5/29,2025/5/29,金融债,56452,2030/05/29
2306,天津临港投资控股有限公司,TJHARB 3.7 05/28/23,95.377,3.7,10.195,68.00 百万,2020-05-28,集团的现有债务再融资,--,--,城投债,100109,2023/05/28
2307,寿光市城市建设投资开发有限公司,SHGCON 3.5 04/28/23,98.199,3.5,6.249,40.00 百万,2020-05-28,项目再融资,--,--,城投债,100122,2023/04/28
2308,海通国际证券集团有限公司,HTISEC 2.3 05/27/21,100.000,2.3,-,147.00 百万,2020-05-28,--,--,--,金融债,101074,2021/05/27
2309,恒基兆业地产有限公司,HENLND 2.375 05/27/25,94.017,2.375,4.714,500.00 百万,2020-05-27,一般企业用途、再融资,--,--,地产债,30502,2025/05/27
2310,力高地产集团有限公司,REDPRO 13 05/27/23,21.000,13,402.674,150.00 百万,2020-05-27,再融资,2022/5/27,2022/5/27,地产债,29867,2023/05/27
2311,碧桂园控股有限公司,COGARD 5.4 05/27/25,42.965,5.4,42.344,544.00 百万,2020-05-27,再融资,2023/5/27、2024/5/27,2023/5/27,地产债,29881,2025/05/27
2312,香港置地有限公司,HKLSP 2.875 05/27/30,89.214,2.875,4.539,600.00 百万,2020-05-27,一般企业用途,2030/2/27,2030/2/27,地产债,29886,2030/05/27
2313,济宁高新城建投资有限公司,JIHITE 5.5 05/27/23,99.600,5.5,6.033,118.00 百万,2020-05-27,项目融资,--,--,城投债,101068,2023/05/27
2314,西安航天高技术产业发展集团有限公司,XIANST 3.95 05/26/23,100.275,3.95,3.607,200.00 百万,2020-05-26,偿还现有的在岸债务以及投资在岸项目,--,--,城投债,100119,2023/05/26
2315,海通国际证券集团有限公司,HTISEC 2.4 05/25/21,-,2.4,-,550.00 百万,2020-05-26,--,--,--,金融债,99974,2021/05/25
2316,香港中华煤气有限公司,HKCGAS 2.57 05/26/50,-,2.57,-,1512.00 百万,2020-05-26,--,--,--,产业债,99980,2050/05/26
2317,中国工商银行股份有限公司,ICBCAS Float 05/25/23,100.082,3mL+60,-,100.00 百万,2020-05-26,--,--,--,金融债,101082,2023/05/25
2318,陕西省西咸新区空港新城开发建设集团有限公司,XXKGDC 6.5 05/25/23,96.709,6.5,11.146,50.00 百万,2020-05-25,项目建设，偿还现有债务和一般企业用途,--,--,城投债,100107,2023/05/25
2319,中国华融国际控股有限公司,HRINTH 3.3 05/20/21,100.000,3.3,-,300.00 百万,2020-05-22,--,--,--,金融债,100106,2021/05/20
2320,国泰君安国际控股有限公司,GUOTJU 2.1 05/21/21,-,2.1,-,300.00 百万,2020-05-22,--,--,--,金融债,100014,2021/05/21
2321,国泰君安国际控股有限公司,GUOTJU 2.5 11/22/20,-,2.5,-,420.00 百万,2020-05-22,--,--,--,金融债,100017,2020/11/22
2322,山证国际金融控股有限公司,SSIFH 4.5 05/21/21,-,4.5,-,27.00 百万,2020-05-22,一般企业用途,--,--,金融债,101070,2021/05/21
2323,招银国际金融有限公司,CMBICC 1.73 08/24/20,-,1.73,-,10.00 百万,2020-05-22,一般企业用途,--,--,金融债,101080,2020/08/24
2324,中国国际金融(国际)有限公司,CICCHK 2.3 05/21/21,100.000,2.3,-,10.00 百万,2020-05-22,--,--,--,金融债,101089,2021/05/21
2325,交通银行股份有限公司,BOCOM Float 05/22/23,100.080,3mL+80,-,50.00 百万,2020-05-22,--,--,--,金融债,96754,2023/05/22
2326,中升集团控股有限公司,ZHOSHK 0 05/21/25,-,0,-,4560.00 百万,2020-05-21,再融资,2023/5/21,2023/5/21,产业债,102170,2025/05/21
2327,正荣地产集团有限公司,ZHPRHK 8.35 03/10/24,4.658,8.35,-,200.00 百万,2020-05-21,再融资,2023/3/10,2023/3/10,地产债,28528,2024/03/10
2328,香港电灯有限公司,HKE 2.59 05/21/50,-,2.59,-,1240.00 百万,2020-05-21,--,--,--,产业债,99976,2050/05/21
2329,中华人民共和国(香港特区政府),HKGB 0.33 05/23/22,-,0.33,-,1200.00 百万,2020-05-21,--,--,--,政府债,99979,2022/05/23
2330,香港机场管理局,HKAA 1.935 05/21/27,-,1.935,-,700.00 百万,2020-05-21,--,--,--,产业债,99985,2027/05/21
2331,南京江北新区产业投资集团有限公司,IDINOS 3.8 05/20/21,100.000,3.8,-,300.00 百万,2020-05-21,一般企业用途、再融资,--,--,城投债,29887,2021/05/20
2332,乐明国际投资(香港)有限公司,LEMING 7.75 05/17/21,-,7.75,-,150.00 百万,2020-05-19,一般企业用途,--,--,金融债,100118,2021/05/17
2333,新世界发展有限公司,NWDEVL 4.5 05/19/30,85.329,4.5,6.986,600.00 百万,2020-05-19,一般企业用途,--,--,地产债,28527,2030/05/19
2334,国泰君安国际控股有限公司,GUOTJU 2.5 11/19/20,-,2.5,-,355.00 百万,2020-05-19,--,--,--,金融债,100027,2020/11/19
2335,中华人民共和国,PBOCIN 1.78 05/18/21,-,1.78,-,10000.00 百万,2020-05-18,--,--,--,政府债,99972,2021/05/18
2336,中华人民共和国,PBOCIN 1.77 08/17/20,-,1.77,-,20000.00 百万,2020-05-18,--,--,--,政府债,99975,2020/08/17
2337,香港铁路有限公司,MTRC 1.02 05/07/21,-,1.02,-,250.00 百万,2020-05-18,Green Bond/Loan Pandemic,--,--,产业债,99983,2021/05/07
2338,微盟集团,WEIMOB 1.5 05/15/25,98.225,1.5,-,150.00 百万,2020-05-15,--,2023/5/15,2023/5/15,产业债,28529,2025/05/15
2339,国泰君安国际控股有限公司,GUOTJU 2.5 05/14/21,-,2.5,-,350.00 百万,2020-05-15,--,--,--,金融债,99984,2021/05/14
2340,国泰君安国际控股有限公司,GUOTJU 2.9 05/14/21,-,2.9,-,200.00 百万,2020-05-15,--,--,--,金融债,99999,2021/05/14
2341,国泰君安国际控股有限公司,GUOTJU 3 05/13/21,-,3,-,350.00 百万,2020-05-14,--,--,--,金融债,100016,2021/05/13
2342,尚乘国际,HKIBHK 7.25 PERP,28.000,7.25,299.790,200.00 百万,2020-05-14,资本支出、一般企业用途、投资、再融资,2023/5/14、2023/11/14、2024/5/14、2024/11/14、2025/5/14、2025/11/14、2026/5/14、2026/11/14、2027/5/14,2023/5/14,金融债,101066,PERP
2343,中信证券国际有限公司,CSILTD 2 11/15/20,-,2,-,122.00 百万,2020-05-14,--,--,--,金融债,101075,2020/11/15
2344,香港铁路有限公司,MTRC 0.7 06/03/21,-,0.7,-,50.00 百万,2020-05-14,绿色债券/贷款、大流行病,--,--,产业债,101077,2021/06/03
2345,香港铁路有限公司,MTRC 0.7 06/03/21,-,0.7,-,10.00 百万,2020-05-14,--,--,--,产业债,101095,2021/06/03
2346,尚乘国际,HKIBHK 4.5 PERP,-,4.5,-,50.00 百万,2020-05-14,资本支出、一般企业用途、投资、再融资,2025/5/14、2025/11/14、2026/5/14、2026/11/14、2027/5/14、2027/11/14、2028/5/14、2028/11/14、2029/5/14,2025/5/14,金融债,101369,PERP
2347,中国石油化工集团有限公司,SINOPE 3.35 05/13/50,74.989,3.35,5.032,500.00 百万,2020-05-13,一般企业用途、再融资,2049/11/13,2049/11/13,产业债,28508,2050/05/13
2348,中国石油化工集团有限公司,SINOPE 2.15 05/13/25,95.804,2.15,3.788,1000.00 百万,2020-05-13,一般企业用途、再融资,2025/4/13,2025/4/13,产业债,28509,2025/05/13
2349,中国石油化工集团有限公司,SINOPE 2.7 05/13/30,91.076,2.7,4.057,1500.00 百万,2020-05-13,一般企业用途、再融资,2030/2/13,2030/2/13,产业债,28510,2030/05/13
2350,新鸿基地产发展有限公司,SUNHUN 2.75 05/13/30,88.908,2.75,4.464,500.00 百万,2020-05-13,一般企业用途,2030/2/13,2030/2/13,地产债,28511,2030/05/13
2351,中国石油化工集团有限公司,SINOPE 3.35 05/13/50,74.989,3.35,5.032,500.00 百万,2020-05-13,一般企业用途、再融资,2049/11/13,2049/11/13,产业债,28516,2050/05/13
2352,中国石油化工集团有限公司,SINOPE 2.15 05/13/25,95.804,2.15,3.788,1000.00 百万,2020-05-13,一般企业用途、再融资,2025/4/13,2025/4/13,产业债,28517,2025/05/13
2353,中国石油化工集团有限公司,SINOPE 2.7 05/13/30,91.076,2.7,4.057,1500.00 百万,2020-05-13,一般企业用途、再融资,2030/2/13,2030/2/13,产业债,28518,2030/05/13
2354,国泰君安国际控股有限公司,GUOTJU 2.9 05/12/21,-,2.9,-,283.00 百万,2020-05-13,--,--,--,金融债,99989,2021/05/12
2355,恒基兆业地产有限公司,HENLND Float 05/12/25,-,3mH+130,-,420.00 百万,2020-05-12,--,--,--,地产债,99982,2025/05/12
2356,华住集团有限公司,HTHT 3 05/01/26,119.922,3,-,500.00 百万,2020-05-12,再融资,2024/5/1,2024/5/1,产业债,92313,2026/05/01
2357,华住集团有限公司,HTHT 3 05/01/26,142.625,3,-,500.00 百万,2020-05-12,再融资,2024/5/1,2024/5/1,产业债,100509,2026/05/01
2358,香港机场管理局,HKAA 1.95 05/11/27,-,1.95,-,590.00 百万,2020-05-11,Capital Expenditures General Corporate Purposes,--,--,产业债,99977,2027/05/11
2359,红河发展集团有限公司,HHDLG 7 05/08/23,100.225,7,6.646,108.00 百万,2020-05-08,运营资本、项目融资、再融资,--,--,城投债,47630,2023/05/08
2360,南海控股有限公司,NANHAI 3.5 05/08/22,100.000,3.5,-,500.00 百万,2020-05-08,再融资,2025/5/8,2025/5/8,地产债,28493,2022/05/08
2361,水发集团有限公司,SHUGRP 4.3 05/08/23,93.297,4.3,14.653,400.00 百万,2020-05-08,项目融资、再融资,--,--,城投债,28494,2023/05/08
2362,长江和记实业有限公司,CKHH 2.5 05/08/30,88.128,2.5,4.328,750.00 百万,2020-05-08,资本支出、一般企业用途、再融资,2030/2/8,2030/2/8,产业债,28512,2030/05/08
2363,长江和记实业有限公司,CKHH 3.375 05/08/50,79.615,3.375,4.697,750.00 百万,2020-05-08,资本支出、一般企业用途、再融资,2049/11/8,2049/11/8,产业债,28513,2050/05/08
2364,长江和记实业有限公司,CKHH 3.375 05/08/50,79.615,3.375,4.697,750.00 百万,2020-05-08,资本支出、一般企业用途、再融资,2049/11/8,2049/11/8,产业债,28514,2050/05/08
2365,长江和记实业有限公司,CKHH 2.5 05/08/30,88.128,2.5,4.328,750.00 百万,2020-05-08,资本支出、一般企业用途、再融资,2030/2/8,2030/2/8,产业债,28515,2030/05/08
2366,国银租赁(国际)有限公司,CDBLFD 1.85 02/08/21,-,1.85,-,550.00 百万,2020-05-08,--,--,--,金融债,100011,2021/02/08
2367,九龙仓置业地产投资有限公司,WREICL 2.375 05/07/25,95.123,2.375,4.306,450.00 百万,2020-05-07,一般企业用途,--,--,地产债,28490,2025/05/07
2368,九龙仓置业地产投资有限公司,WREICL 2.875 05/07/30,89.537,2.875,4.497,300.00 百万,2020-05-07,一般企业用途,--,--,地产债,28491,2030/05/07
2369,恒基兆业地产有限公司,HENLND 2.2 05/08/23,-,2.2,-,700.00 百万,2020-05-07,--,--,--,地产债,100010,2023/05/08
2370,时代中国控股有限公司,TPHL 6 05/05/21,100.000,6,-,200.00 百万,2020-05-06,一般企业用途,--,--,地产债,28474,2021/05/05
2371,恒基兆业地产有限公司,HENLND 2.35 05/06/27,-,2.35,-,213.00 百万,2020-05-06,--,--,--,地产债,100001,2027/05/06
2372,恒隆地产有限公司,HLPPY 2.3 05/06/25,-,2.3,-,380.00 百万,2020-05-06,--,--,--,地产债,100041,2025/05/06
2373,香港电灯有限公司,HKE 2.59 04/20/35,-,2.59,-,559.00 百万,2020-05-04,--,--,--,产业债,100000,2035/04/20
2374,中银航空租赁有限公司,BOCAVI 3.25 04/29/25,96.356,3.25,4.712,1000.00 百万,2020-04-29,新资本支出、一般公司用途和/或现存借款的再融资,2025/3/29,2025/3/29,产业债,100105,2025/04/29
2375,小米集团,XIAOMI 3.375 04/29/30,80.099,3.375,6.736,600.00 百万,2020-04-29,一般企业用途、再融资,2030/1/29,2030/1/29,产业债,28460,2030/04/29
2376,小米集团,XIAOMI 3.375 04/29/30,80.099,3.375,6.736,600.00 百万,2020-04-29,一般企业用途、再融资,2030/1/29,2030/1/29,产业债,28465,2030/04/29
2377,中银航空租赁有限公司,BOCAVI 3.25 04/29/25,96.356,3.25,4.712,1000.00 百万,2020-04-29,资本支出、一般企业用途、再融资,2025/3/29,2025/3/29,产业债,101204,2025/04/29
2378,金山软件有限公司,KINSF 0.625 04/29/25,-,0.625,-,3100.00 百万,2020-04-29,一般企业用途、运营资本,2023/4/29,2023/4/29,产业债,99966,2025/04/29
2379,海通国际证券集团有限公司,HTISEC 2.75 04/28/21,-,2.75,-,50.00 百万,2020-04-29,--,--,--,金融债,101088,2021/04/28
2380,平度市国有资产经营管理有限公司,PDSOAM 5.75 04/28/23,100.375,5.75,5.164,200.00 百万,2020-04-28,一般企业用途、项目融资,--,--,城投债,28473,2023/04/28
2381,国美零售控股有限公司,GOME 5 04/28/23,-,5,-,200.00 百万,2020-04-28,再融资,2020/4/28至2023/4/28期间,2020/4/28至2023/4/28期间,产业债,101090,2023/04/28
2382,青岛城市建设投资(集团)有限责任公司,HKIQCL 3.99 04/27/23,99.168,3.99,5.255,300.00 百万,2020-04-27,再融资,--,--,城投债,28466,2023/04/27
2383,香港机场管理局,HKAA 2.33 04/29/30,-,2.33,-,759.00 百万,2020-04-27,Capital Expenditures General Corporate Purposes,--,--,产业债,100020,2030/04/29
2384,新湖中宝股份有限公司,XINHUZ 4.3 03/27/23,-,4.3,-,87.00 百万,2020-04-27,再融资,--,--,地产债,101079,2023/03/27
2385,联想集团有限公司,LENOVO 5.875 04/24/25,100.628,5.875,5.614,1000.00 百万,2020-04-24,一般企业用途、再融资,--,--,产业债,28454,2025/04/24
2386,香港机场管理局,HKAA 2.3 04/24/30,-,2.3,-,900.00 百万,2020-04-24,Capital Expenditures General Corporate Purposes,--,--,产业债,99997,2030/04/24
2387,中国旅游集团有限公司,CHITRA 2.625 04/23/25,95.900,2.625,4.270,300.00 百万,2020-04-23,一般企业用途、再融资,--,--,产业债,28452,2025/04/23
2388,中国旅游集团有限公司,CHITRA 3.125 04/23/30,91.604,3.125,4.428,600.00 百万,2020-04-23,一般企业用途、再融资,--,--,产业债,28453,2030/04/23
2389,海通国际证券集团有限公司,HTISEC 2.5 04/21/21,-,2.5,-,375.00 百万,2020-04-23,--,--,--,金融债,100005,2021/04/21
2390,招银国际金融有限公司,CMBICC 2.64 05/22/20,-,2.64,-,25.00 百万,2020-04-22,一般企业用途,--,--,金融债,101093,2020/05/22
2391,中国兵器工业集团有限公司,SUMCOW 2.69 04/21/23,98.458,2.69,5.097,200.00 百万,2020-04-21,再融资,--,--,产业债,28467,2023/04/21
2392,恒隆地产有限公司,HLPPY 2.71 04/20/27,-,2.71,-,400.00 百万,2020-04-20,公司间贷款,--,--,地产债,100066,2027/04/20
2393,招银国际租赁管理有限公司,CMINLE Float 04/15/21,-,3ml+60bps,-,40.00 百万,2020-04-17,一般企业用途以及再融资,--,--,金融债,100104,2021/04/15
2394,新世界发展有限公司,NWDEVL 3.83 04/05/30,-,3.83,-,300.00 百万,2020-04-17,--,--,--,地产债,99978,2030/04/05
2395,山东海运股份有限公司,SDSHIP 5.9 10/17/22,-,5.9,-,40.00 百万,2020-04-17,一般企业用途、再融资,--,--,产业债,101086,2022/10/17
2396,九龙仓置业地产投资有限公司,WREICL 2.55 04/16/25,-,2.55,-,1023.00 百万,2020-04-16,--,--,--,地产债,100013,2025/04/16
2397,海通国际证券集团有限公司,HTISEC 2.83 12/23/20,-,2.83,-,120.00 百万,2020-04-15,--,--,--,金融债,100103,2020/12/23
2398,太古股份有限公司,SWIRE 2.35 04/15/25,-,2.35,-,230.00 百万,2020-04-15,--,--,--,地产债,100019,2025/04/15
2399,新鸿基地产发展有限公司,SUNHUN 2.673 04/15/32,-,2.673,-,500.00 百万,2020-04-15,--,--,--,地产债,100038,2032/04/15
2400,希慎兴业有限公司,HYSAN 2.85 04/14/35,-,2.85,-,400.00 百万,2020-04-14,--,--,--,地产债,100031,2035/04/14
2401,太古地产有限公司,SWIPRO 2.55 04/14/30,-,2.55,-,200.00 百万,2020-04-14,Green Bond/Loan,--,--,地产债,100032,2030/04/14
2402,中信信惠国际资本有限公司,CTICPM 3.2 12/09/20,-,3.2,-,50.00 百万,2020-04-09,--,2020/4/9，100,2020/4/9，100,金融债,101123,2020/12/09
2403,领展房地产投资信托基金,LINREI 2.35 04/09/25,-,2.35,-,1010.00 百万,2020-04-09,--,--,--,地产债,100022,2025/04/09
2404,国泰君安国际控股有限公司,GUOTJU 2.15 06/30/20,-,2.15,-,36.00 百万,2020-04-09,--,--,--,金融债,100072,2020/06/30
